"","geo","year","value","curr"
"555","se",2004,11.3764,"SEK"
"556","si",2004,0.743993,"EUR"
"557","sk",2004,0.690943,"EUR"
"558","tr",2004,0.969633,"TRY"
"559","gb",2004,0.841927,"GBP"
"560","us",2004,1.223,"USD"
"561","at",2003,1.08186,"EUR"
"562","be",2003,1.06718,"EUR"
"563","bg",2003,0.681916,"BGN"
"564","ch",2003,2.08931,"CHF"
"565","cy",2003,0.897152,"EUR"
"566","cz",2003,17.2676,"CZK"
"567","de",2003,1.09132,"EUR"
"568","dk",2003,10.5338,"DKK"
"569","ee",2003,0.591711,"EUR"
"570","gr",2003,0.834486,"EUR"
"571","es",2003,0.924846,"EUR"
"572","fi",2003,1.22052,"EUR"
"573","fr",2003,1.13269,"EUR"
"574","hr",2003,4.85286,"HRK"
"575","hu",2003,148.621,"HUF"
"576","ie",2003,1.22288,"EUR"
"577","is",2003,112.804,"ISK"
"578","it",2003,1.01523,"EUR"
"579","jp",2003,169.767,"JPY"
"580","lt",2003,0.492096,"EUR"
"581","lu",2003,1.1751,"EUR"
"582","lv",2003,0.460712,"EUR"
"583","mk",2003,24.4841,"MKD"
"584","mt",2003,0.699055,"EUR"
"585","nl",2003,1.12734,"EUR"
"586","no",2003,11.2033,"NOK"
"587","pl",2003,2.19799,"PLN"
"588","pt",2003,0.815868,"EUR"
"589","ro",2003,1.43329,"RON"
"590","se",2003,11.5547,"SEK"
"591","si",2003,0.740462,"EUR"
"592","sk",2003,0.66306,"EUR"
"593","tr",2003,0.897174,"TRY"
"594","gb",2003,0.847637,"GBP"
"595","us",2003,1.21683,"USD"
"596","at",2002,1.09782,"EUR"
"597","be",2002,1.06549,"EUR"
"598","bg",2002,0.681152,"BGN"
"599","ch",2002,2.08603,"CHF"
"600","cy",2002,0.866869,"EUR"
"601","cz",2002,17.6402,"CZK"
"602","de",2002,1.11424,"EUR"
"603","dk",2002,10.4458,"DKK"
"604","ee",2002,0.593253,"EUR"
"605","gr",2002,0.808868,"EUR"
"606","es",2002,0.905674,"EUR"
"607","fi",2002,1.21779,"EUR"
"608","fr",2002,1.09889,"EUR"
"609","hr",2002,4.73308,"HRK"
"610","hu",2002,144.141,"HUF"
"611","ie",2002,1.19811,"EUR"
"612","is",2002,111.155,"ISK"
"613","it",2002,1.00472,"EUR"
"614","jp",2002,175.415,"JPY"
"615","lt",2002,0.51332,"EUR"
"616","lu",2002,1.1676,"EUR"
"617","lv",2002,0.440389,"EUR"
"618","mk",2002,24.4198,"MKD"
"619","mt",2002,0.709882,"EUR"
"620","nl",2002,1.09912,"EUR"
"621","no",2002,11.0499,"NOK"
"622","pl",2002,2.19588,"PLN"
"623","pt",2002,0.819986,"EUR"
"624","ro",2002,1.19366,"RON"
"625","se",2002,11.4853,"SEK"
"626","si",2002,0.711651,"EUR"
"627","sk",2002,0.636289,"EUR"
"628","tr",2002,0.721368,"TRY"
"629","gb",2002,0.841699,"GBP"
"630","us",2002,1.22007,"USD"
"631","at",2001,1.11519,"EUR"
"632","be",2001,1.0783,"EUR"
"633","bg",2001,0.6716,"BGN"
"634","ch",2001,2.13713,"CHF"
"635","cy",2001,0.8599,"EUR"
"636","cz",2001,17.3062,"CZK"
"637","de",2001,1.1234,"EUR"
"638","dk",2001,10.5029,"DKK"
"639","ee",2001,0.58952,"EUR"
"640","gr",2001,0.80773,"EUR"
"641","es",2001,0.90327,"EUR"
"642","fi",2001,1.21155,"EUR"
"643","fr",2001,1.10163,"EUR"
"644","hr",2001,4.67961,"HRK"
"645","hu",2001,138.244,"HUF"
"646","ie",2001,1.17132,"EUR"
"647","is",2001,106.692,"ISK"
"648","it",2001,0.986353,"EUR"
"649","jp",2001,180.946,"JPY"
"650","lt",2001,0.522916,"EUR"
"651","lu",2001,1.16409,"EUR"
"652","lv",2001,0.426942,"EUR"
"653","mk",2001,24.7661,"MKD"
"654","mt",2001,0.711638,"EUR"
"655","nl",2001,1.09334,"EUR"
"656","no",2001,11.0859,"NOK"
"657","pl",2001,2.21983,"PLN"
"658","pt",2001,0.810634,"EUR"
"659","ro",2001,0.982934,"RON"
"660","se",2001,11.3603,"SEK"
"661","si",2001,0.6768,"EUR"
"662","sk",2001,0.623117,"EUR"
"663","tr",2001,0.501407,"TRY"
"664","gb",2001,0.839177,"GBP"
"665","us",2001,1.20852,"USD"
"666","at",2000,1.09265,"EUR"
"667","be",2000,1.08361,"EUR"
"668","bg",2000,0.645307,"BGN"
"669","ch",2000,2.15357,"CHF"
"670","cy",2000,0.863288,"EUR"
"671","cz",2000,17.2542,"CZK"
"672","de",2000,1.13549,"EUR"
