"","geo","year","values"
"565","de",2004,84.3
"566","dk",2004,83.1
"567","ee",2004,66.96
"568","gr",2004,80.25
"569","es",2004,80.84
"570","fi",2004,81.47
"571","fr",2004,85.08
"572","hr",2004,77.81
"573","hu",2004,66.81
"574","ie",2004,89.9
"575","is",2004,55.49
"576","it",2004,81.9
"577","lt",2004,70.18
"578","lu",2004,78.38
"579","lv",2004,63.52
"580","mt",2004,81.02
"581","nl",2004,84.12
"582","no",2004,81.6
"583","pl",2004,78.8
"584","pt",2004,84.04
"585","ro",2004,59.96
"586","se",2004,86.05
"587","si",2004,79.96
"588","sk",2004,79.69
"589","tr",2004,41.73
"590","gb",2004,76.6
"591","us",2004,79.34
"592","at",2003,79.01
"593","be",2003,79.64
"594","bg",2003,62.22
"595","cy",2003,80.8
"596","cz",2003,78.2
"597","de",2003,82.5
"598","dk",2003,82.4
"599","ee",2003,64.45
"600","gr",2003,78.03
"601","es",2003,78.24
"602","fi",2003,81.27
"603","fr",2003,82.94
"604","hr",2003,76.43
"605","hu",2003,62.33
"606","ie",2003,87.7
"607","is",2003,53.88
"608","it",2003,80
"609","lt",2003,68.7
"610","lu",2003,75.64
"611","lv",2003,58.96
"612","mt",2003,79.03
"613","nl",2003,83.16
"614","no",2003,80.7
"615","pl",2003,75.1
"616","pt",2003,82.05
"617","ro",2003,53.33
"618","se",2003,85.11
"619","si",2003,77.1
"620","sk",2003,74.4
"621","tr",2003,37.96
"622","gb",2003,75.6
"623","us",2003,77.27
"624","at",2002,78.19
"625","be",2002,78.33
"626","bg",2002,60.13
"627","cy",2002,78.93
"628","cz",2002,78.4
"629","de",2002,81.6
"630","dk",2002,81.1
"631","ee",2002,63.54
"632","gr",2002,75.55
"633","es",2002,75.9
"634","fi",2002,80.31
"635","fr",2002,81.31
"636","hr",2002,74.1
"637","hu",2002,59.5
"638","ie",2002,84.3
"639","is",2002,53.34
"640","it",2002,77.8
"641","lt",2002,69.37
"642","lu",2002,73.93
"643","lv",2002,57
"644","mt",2002,77.66
"645","nl",2002,81.38
"646","no",2002,79.3
"647","pl",2002,74.6
"648","pt",2002,79.73
"649","ro",2002,46.72
"650","se",2002,83.23
"651","si",2002,73.01
"652","sk",2002,68.25
"653","tr",2002,30.36
"654","gb",2002,74.6
"655","us",2002,75.6
"656","at",2001,76.66
"657","be",2001,77.38
"658","bg",2001,57.55
"659","cy",2001,75.81
"660","cz",2001,78.2
"661","de",2001,80.7
"662","dk",2001,79.2
"663","ee",2001,61.86
"664","gr",2001,72.76
"665","es",2001,73.17
"666","fi",2001,78.9
"667","fr",2001,79.87
"668","hr",2001,72.76
"669","hu",2001,57.01
"670","ie",2001,80.7
"671","is",2001,51.55
"672","it",2001,75.9
"673","lt",2001,70.09
"674","lu",2001,72.47
"675","lv",2001,56.47
"676","mt",2001,75.91
"677","nl",2001,78.51
"678","no",2001,78.5
"679","pl",2001,73.6
"680","pt",2001,76.75
"681","ro",2001,38.51
"682","se",2001,81.94
"683","si",2001,67.81
"684","sk",2001,66.26
"685","tr",2001,21.44
"686","gb",2001,73.9
"687","at",2000,74.85
"688","be",2000,75.47
"689","bg",2000,54.45
"690","cy",2000,74.47
"691","cz",2000,74.4
"692","de",2000,79
"693","dk",2000,77.3
"694","ee",2000,58.46
"695","gr",2000,69.96
"696","es",2000,71.68
"697","fi",2000,76.8
"698","fr",2000,78.32
"699","hr",2000,69.8
"700","hu",2000,52.46
"701","ie",2000,77.8
"702","is",2000,47.68
"703","it",2000,74.4
"704","lt",2000,68.27
"705","lu",2000,70.69
"706","lv",2000,54.77
"707","mt",2000,73.53
"708","nl",2000,74.62
"709","no",2000,76.8
"710","pl",2000,70.3
"711","pt",2000,73.79
"712","ro",2000,29.1
"713","se",2000,79.52
"714","si",2000,62.31
"715","sk",2000,61.53
"716","tr",2000,13.34
"717","gb",2000,72.5
"718","at",1999,73.49
"719","be",1999,72.94
"720","bg",1999,49.04
"721","cy",1999,70.52
"722","cz",1999,71.4
"723","de",1999,78.2
"724","dk",1999,75.7
"725","ee",1999,56.01
"726","gr",1999,67.99
"727","es",1999,69.21
"728","fi",1999,74.65
"729","fr",1999,76.82
"730","hr",1999,66.62
"731","hu",1999,47.76
"732","ie",1999,73.6
"733","is",1999,45.82
"734","it",1999,72.4
"735","lt",1999,67.57
"736","lu",1999,68.2
"737","lv",1999,53.46
"738","mt",1999,71.23
"739","nl",1999,72.83
"740","no",1999,74.2
"741","pl",1999,63.5
"742","pt",1999,71.25
"743","ro",1999,20.01
"744","se",1999,78.5
"745","si",1999,57.54
"746","sk",1999,56.53
"747","tr",1999,8.79
"748","gb",1999,72.1
"749","at",1998,73.13
"750","be",1998,72.3
"751","bg",1998,46.34
"752","cy",1998,70.84
"753","cz",1998,70.6
"754","de",1998,77.7
"755","dk",1998,73.8
"756","ee",1998,54.74
"757","gr",1998,67.07
"758","es",1998,67.65
"759","fi",1998,73.71
"760","fr",1998,76.46
"761","hr",1998,63.98
"762","hu",1998,43.03
"763","ie",1998,71.8
"764","is",1998,44.44
"765","it",1998,71.3
"766","lt",1998,66.89
"767","lu",1998,67.28
"768","lv",1998,52.49
"769","mt",1998,69.91
"770","nl",1998,71.04
"771","no",1998,73
"772","pl",1998,59.3
"773","pt",1998,69.97
"774","ro",1998,13.39
"775","se",1998,77.9
"776","si",1998,53.92
"777","sk",1998,49.43
"778","tr",1998,5.47
"779","gb",1998,71.2
"780","at",1997,72.63
"781","be",1997,71.6
"782","bg",1997,44.51
"783","cy",1997,68.16
"784","cz",1997,65.1
"785","de",1997,77.2
"786","dk",1997,73.1
"787","ee",1997,50.6
"788","gr",1997,64.07
"789","es",1997,66.29
"790","fi",1997,72.92
"791","fr",1997,75.96
"792","hu",1997,37.95
"793","ie",1997,69.8
"794","is",1997,44.13
"795","it",1997,69.8
"796","lt",1997,63.98
"797","lu",1997,66.62
"798","lv",1997,50.6
"799","mt",1997,67.39
"800","nl",1997,70.08
"801","no",1997,71.6
"802","pl",1997,53.4
"803","pt",1997,68.44
"804","ro",1997,8.82
"805","se",1997,77.45
"806","si",1997,50.07
"807","sk",1997,46.8
"808","tr",1997,3.04
"809","gb",1997,70.3
"810","at",1996,71.69
"811","be",1996,70.4
"812","cy",1996,65.97
"813","cz",1996,59.5
"814","de",1996,75.9
"815","dk",1996,71.6
"816","ee",1996,45.92
"817","gr",1996,60.7
"818","es",1996,65.19
"819","fi",1996,71.7
"820","fr",1996,74.78
"821","hu",1996,32.13
"822","ie",1996,69.3
"823","is",1996,43.48
"824","it",1996,68.7
"825","lt",1996,58.03
"826","lu",1996,65.71
"827","lv",1996,46.86
"828","mt",1996,64.86
"829","nl",1996,68.36
"830","no",1996,70.1
"831","pl",1996,46.4
"832","pt",1996,67.37
"833","ro",1996,3.4
"834","se",1996,75.84
"835","si",1996,45.99
"836","sk",1996,43.99
"837","tr",1996,1.63
"838","gb",1996,68.9
