"","currency","year","values"
"829","HKD",2000,7.0527
"830","HRK",2000,7.5785
"831","HUF",2000,260.88
"832","IDR",2000,7629.72
"833","ILS",2000,3.6602
"834","INR",2000,41.3157
"835","ISK",2000,72.41
"836","JPY",2000,97.76
"837","KRW",2000,1007.64
"838","MAD",2000,9.72
"839","MKD",2000,60.7713
"840","MXN",2000,8.389
"841","MYR",2000,3.4363
"842","NOK",2000,8.0959
"843","NZD",2000,2.0305
"844","PHP",2000,40.614
"845","PLN",2000,3.9446
"846","RON",2000,2.027
"847","RSD",2000,11.735
"848","RUB",2000,25.1098
"849","SEK",2000,8.3917
"850","SGD",2000,1.5563
"851","THB",2000,36.9642
"852","TRY",2000,0.5837
"853","TWD",2000,28.107
"854","USD",2000,0.9041
"855","ZAR",2000,6.2922
"856","ALL",1999,140.91
"857","AUD",1999,1.6451
"858","BAM",1999,1.95583
"859","BGN",1999,1.9558
"860","CAD",1999,1.5833
"861","CHF",1999,1.6004
"862","CZK",1999,36.413
"863","DKK",1999,7.4376
"864","GBP",1999,0.66014
"865","HKD",1999,8.2272
"866","HRK",1999,7.58037
"867","HUF",1999,253.52
"868","IDR",1999,7871.32
"869","ISK",1999,77.28
"870","JPY",1999,120.1
"871","KRW",1999,1269.05
"872","MKD",1999,60.6324
"873","MXN",1999,9.9558
"874","MYR",1999,4.027
"875","NOK",1999,8.2602
"876","NZD",1999,2.0154
"877","PHP",1999,41.7
"878","PLN",1999,4.1966
"879","RON",1999,1.7058
"880","RSD",1999,11.735
"881","RUB",1999,26.2467
"882","SEK",1999,8.7519
"883","SGD",1999,1.7786
"884","THB",1999,40.2916
"885","TRY",1999,0.4642
"886","TWD",1999,33.91
"887","USD",1999,1.0604
"888","ZAR",1999,6.4969
"889","ALL",1998,163.66
"890","AUD",1998,1.8682
"891","BGN",1998,1.9698
"892","CAD",1998,1.6878
"893","CHF",1998,1.6463
"894","CZK",1998,35.523
"895","DKK",1998,7.503
"896","GBP",1998,0.67451
"897","HRK",1998,7.10771
"898","HUF",1998,244.21
"899","JPY",1998,159.37
"900","KRW",1998,1445.58
"901","MKD",1998,61.0741
"902","NOK",1998,8.5101
"903","NZD",1998,2.1961
"904","PLN",1998,3.943
"905","RON",1998,0.9673
"906","RSD",1998,11.8191
